Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Latitude,Longitude,Elevation,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km,Region,Subregion,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5
390090,Saunders,Stratovolcano,2013,United Kingdom,-57.8,-26.483,843,0,0,0,0,Antarctica,Antarctica and South Sandwich Islands,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
244040,Savaii,Shield,1911,Samoa,-13.612,-172.525,1858,0,59,34215,188465,New Zealand to Fiji,Samoan and Wallis Islands,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , 
255070,Savo,Stratovolcano,1847,Solomon Islands,-9.13,159.82,485,3200,3200,6251,174571,Melanesia and Australia,Bougainville and Solomon Islands,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , 
231160,"Sawad, Harra Es-",Volcanic field,1253,Yemen,13.58,46.12,1737,74598,74598,74598,850297,Middle East and Indian Ocean,Middle East (southern),Intraplate / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , 
284230,Seamount X,Stratovolcano,Unknown,United States,13.25,144.02,-1230,0,0,0,167168,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Unrest / Holocene,Basalt / Picro-Basalt, , , , , , , , , 
300520,Sedanka Lava Field,Volcanic field,-7050,Russia,57.317,160.067,1399,0,0,77,3603,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
222050,Segererua Plateau,Pyroclastic cone(s),Unknown,Kenya,1.57,37.9,699,5211,5211,11949,147996,Africa and Red Sea,Africa (eastern),Rift zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , , 
311180,Seguam,Stratovolcano(es),1993,United States,52.315,-172.51,1054,0,0,0,0,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , ,Rhyolite, , , , 
311030,Segula,Stratovolcano,Unknown,United States,52.015,178.136,1160,0,0,0,0,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
263300,Semeru,Stratovolcano,2024,Indonesia,-8.108,112.922,3657,2686,8375,1022197,20098931,Indonesia,Java,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
