Volcano Number,Eruption Number,Volcano Name,Area of Activity,VEI,Start Date,days,End Date,Eruption Category,Evidence Method (dating),Latitude,Longitude
285090,18730,Shiretoko-Iozan,NW flank,2,1889-08-09,59,1889-10-07,Confirmed Eruption,Observations: Reported,44.133,145.161
344020,22269,San Cristobal,,1,2017-02-18,60,2017-04-19,Confirmed Eruption,Observations: Reported,12.702,-87.004
264030,22104,Rinjani,Barujari crater,2,2015-10-25,60,2015-12-24,Confirmed Eruption,Observations: Reported,-8.42,116.47
257050,15320,Lopevi,,2,2005-01-30,60,2005-03-31,Confirmed Eruption,Observations: Reported,-16.507,168.346
360050,12347,Soufriere Hills,,3,2004-03-03,60,2004-05-02,Confirmed Eruption,Observations: Reported,16.72,-62.18
282060,16999,Kikai,Iwo-dake,2,2000-01-16,60,2000-03-16,Confirmed Eruption,Observations: Reported,30.793,130.305
283220,18034,Chokaisan,"E side of Shinzan, W of Kojin-yama",1,1974-03-01,60,1974-04-30,Confirmed Eruption,Observations: Reported,39.099,140.049
284130,17597,Fukutoku-Oka-no-Ba,3.8 km NNE of Minami-Iwo-jima,2,1973-12-18,60,1974-02-16,Confirmed Eruption,Observations: Reported,24.285,141.481
256010,15199,Tinakula,,2,1955-08-16,60,1955-10-15,Uncertain Eruption,,-10.386,165.804
243100,22518,Fonualei,,NA,1847-06-01,60,1847-07-31,Discredited Eruption,Observations: Reported,-18.023,-174.317
233020,14244,"Fournaise, Piton de la",,2,1786-06-05,60,1786-08-04,Confirmed Eruption,Observations: Reported,-21.244,55.708
382100,13042,Furnas,South end of caldera (Pico da Areia),5,1630-09-03,60,1630-11-02,Confirmed Eruption,Observations: Reported,37.77,-25.32
282130,17368,Yufu-Tsurumi,,3,0867-03-04,61,0867-05-04,Confirmed Eruption,Observations: Reported,33.282,131.39
345070,11247,Turrialba,SW crater,2,2010-01-05,61,2010-03-07,Confirmed Eruption,Observations: Reported,10.025,-83.767
300250,19387,Bezymianny,,3,2009-12-17,61,2010-02-16,Confirmed Eruption,Observations: Reported,55.972,160.595
300260,19479,Klyuchevskoy,,2,2002-04-09,61,2002-06-09,Confirmed Eruption,Observations: Reported,56.056,160.642
311160,19764,Atka Volcanic Complex,,3,1998-05-08,61,1998-07-08,Confirmed Eruption,Observations: Reported,52.331,-174.139
262000,15622,Krakatau,Anak Krakatau,2,1997-03-16,61,1997-05-16,Confirmed Eruption,Observations: Reported,-6.102,105.423
261170,15522,Kerinci,,1,1996-08-16,61,1996-10-16,Confirmed Eruption,Observations: Reported,-1.697,101.264
273030,16807,Mayon,,2,1993-02-02,61,1993-04-04,Confirmed Eruption,Observations: Reported,13.257,123.685
345040,11182,Poas,,1,1981-03-16,61,1981-05-16,Confirmed Eruption,Observations: Reported,10.2,-84.233
345040,11176,Poas,,1,1977-05-16,61,1977-07-16,Confirmed Eruption,Observations: Reported,10.2,-84.233
263340,16142,Raung,,1,1975-03-16,61,1975-05-16,Confirmed Eruption,Observations: Reported,-8.119,114.056
311320,20023,Akutan,,2,1973-03-16,61,1973-05-16,Confirmed Eruption,Observations: Reported,54.134,-165.986
372070,12750,Hekla,"Sudurgigar, Hlidargigar, Oldugigar",3,1970-05-05,61,1970-07-05,Confirmed Eruption,Observations: Reported,63.983,-19.666
300240,19317,Tolbachik,,2,1967-03-16,61,1967-05-16,Confirmed Eruption,Observations: Reported,55.832,160.326
233020,14362,"Fournaise, Piton de la","SE flank (Cratere Maillard, 2400 m)",2,1966-03-15,61,1966-05-15,Confirmed Eruption,Observations: Reported,-21.244,55.708
284133,13890,Fukujin,,NA,1959-08-16,61,1959-10-16,Uncertain Eruption,,21.93,143.47
257060,15327,Epi,,2,1958-09-16,61,1958-11-16,Confirmed Eruption,Observations: Reported,-16.68,168.37
234010,14404,Heard,Mawson Peak,2,1954-04-13,61,1954-06-13,Confirmed Eruption,Observations: Reported,-53.106,73.513
290240,18813,Sarychev Peak,,2,1954-08-16,61,1954-10-16,Confirmed Eruption,Observations: Reported,48.092,153.2
263180,15760,Slamet,,2,1953-08-16,61,1953-10-16,Confirmed Eruption,Observations: Reported,-7.242,109.208
