Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Total Deaths,Total Injuries,Total Houses Destroyed
1969,1,7,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,3,,
1969,1,28,Iya,Lesser Sunda Is,Indonesia,-8.891,121.641,618,Stratovolcano,3,2,10,287
1969,8,26,Naruko,Honshu-Japan,Japan,38.729,140.734,470,Caldera,,1,,
1970,3,2,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,3,,
1971,8,12,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,3,3,,
1971,9,14,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,10,,
1971,10,29,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,15,,
1971,12,27,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,,6,,
1972,6,9,"Fournaise, Piton de la",Indian O-W,Reunion,-21.244,55.708,2632,Shield volcano,2,3,,
1972,10,2,Hakoneyama,Honshu-Japan,Japan,35.233,139.021,1438,Complex volcano,,2,,
1973,1,27,Vestmannaeyjar,Iceland-S,Iceland,63.416,-20.266,283,Submarine volcano,3,1,,300
1973,4,5,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,,2,,
1974,2,11,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,4,,
1974,6,17,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,3,3,,
1974,7,28,Niigata-Yakeyama,Honshu-Japan,Japan,36.921,138.036,2400,Lava dome,2,3,,
